time,MA_battery_storage,CT_battery_storage,ME_battery_storage
4482,2481.6869542135582,1031.2721817335844,223.41754854741336
4483,914.0571233276669,339.2500864689502,0.26183190348696705
4484,0.03314428378072623,0.02861105948889787,0.025996117670781426
4485,0.06672708765114423,0.05130193862802075,0.05343233093853658
4486,0.085075125603862,0.07281204698229385,0.057051666898251675
4487,0.07256282206942402,0.07011915368874833,0.05192361744868407
4488,0.0177354383729646,0.011110468927960342,0.012561674616032283
4489,288.6927109517791,476.8131764450399,133.13424870734576
4490,1182.7076167173711,1249.6033717294624,282.3115798228925
4491,2396.355431587055,1898.8447197197977,428.79086580853357
4492,3286.825681848575,1978.1338746233844,509.5978324447458
4493,3469.4332595825304,1854.544979958314,551.9829812059775
4494,4484.173724634655,2171.9703000824543,669.745376102078
4495,4484.1523017209975,2171.948630467885,669.7280935513028
4496,4484.137090033776,2171.9339985700667,669.7180902444426
4497,4295.006361501808,1990.4393703616113,592.4829603888444
4498,3659.1041292357727,1451.374130123067,542.6264511257707
4499,2019.8952438665006,538.3418548945511,319.3880375076581
4500,1081.158785513004,51.723552659131734,248.6872743190417
4501,1081.1681673007067,164.3442965117099,248.68971853500287
4502,917.0778651311823,259.38538334969036,226.47869027058871
4503,917.0857975207493,422.2564365182286,226.48111717101813
4504,916.9645577221642,469.07893401351305,226.43543961265397
4505,916.9714796203589,512.6770966509824,226.43778292831598
4506,740.455243336538,547.464311316455,183.8898304239041
4507,486.1997472152945,583.8532621503257,128.5212344935941
4508,0.17420717721599466,0.09192443709646507,0.025609659274063994
4509,0.17382991733926997,0.11126885847036064,0.004681963178274299
4510,0.1649261361669307,0.11349183654288227,139.0950396762465
4511,0.14214154928541506,0.10597375509381399,242.2658658394746
4512,0.052057921319968795,0.08688101349077137,320.9961305887142
4513,0.009863942302780489,0.007079805758209596,379.60908825033505
4514,479.10722622608154,419.06948837532593,436.9475973702219
4515,1471.3511039658247,1046.5140038473544,494.43399480146786
4516,2199.0466259879568,1225.523717817143,564.7012681494425
4517,3328.606746354743,1716.6921175039263,647.301679744206
4518,4484.177555980584,2171.9725081105867,669.7493505570407
