time,elec_MA_seg1,elec_MA_seg2,elec_MA_seg3,elec_MA_seg4,elec_CT_seg1,elec_CT_seg2,elec_CT_seg3,elec_CT_seg4,elec_ME_seg1,elec_ME_seg2,elec_ME_seg3,elec_ME_seg4
5007,9.158416100143658e-7,2.026786300259162e-6,6.741630876367585e-6,2.4296753644601033e-5,1.142656882292158e-6,3.214522921138067e-6,6.382559070969326e-6,2.140391620907207e-5,1.401512411041159e-6,3.069607808937161e-6,9.504479324792294e-6,1.7303944147388177e-5
5008,9.229674070947456e-7,2.0412727237477383e-6,6.600818070937726e-6,2.4169485203411288e-5,1.1363018546893412e-6,3.2015701626821342e-6,6.548035371844714e-6,2.1117714379595716e-5,1.3922590526006729e-6,3.074116187524425e-6,9.368068310960283e-6,1.7060065870920215e-5
5009,9.242355115386589e-7,2.0473251535134357e-6,6.488882555574537e-6,2.4055199495948724e-5,1.1416893871494034e-6,3.1923050140922085e-6,6.73285250981895e-6,2.0910702183321462e-5,1.4117233975137583e-6,3.047202952211017e-6,9.580519999822496e-6,1.7138251021617833e-5
5010,8.929763357051577e-7,1.995436469059909e-6,6.339348304063331e-6,2.3750550772178636e-5,1.1228300957487694e-6,3.129780012237177e-6,6.922014824335957e-6,2.0337468265587284e-5,1.405045924422207e-6,3.039489789019844e-6,9.541515509188658e-6,1.703032507781931e-5
5011,8.879422379357409e-7,2.0101302979309533e-6,6.366577013974765e-6,2.3817621338390338e-5,1.1264462245476736e-6,3.1315591037336256e-6,6.999992666438688e-6,2.022084592170923e-5,1.4281810321822603e-6,3.00091838356037e-6,9.753844851868375e-6,1.706645140983309e-5
5012,8.754818227418981e-7,2.0232334782838798e-6,6.408801200169917e-6,2.387559249050852e-5,1.1226604434807584e-6,3.1661327516917176e-6,6.9130807027379e-6,2.0370142780134815e-5,1.4352433334309856e-6,3.030785833217201e-6,9.657218563182963e-6,1.6959933244523315e-5
5013,8.89247295127306e-7,2.0576946162929787e-6,6.5088994640492e-6,2.403544067666181e-5,1.1406891576645559e-6,3.2203178729560685e-6,6.777493721522348e-6,2.0716829854664657e-5,1.424183382914591e-6,3.0681668533534694e-6,9.400573112621542e-6,1.6784701933206625e-5
5014,8.944198602652192e-7,2.0824734001840645e-6,6.367974534150334e-6,2.387186620267895e-5,1.147145563581757e-6,3.1698202131453226e-6,7.161846712145995e-6,2.0212249545227034e-5,1.44696577447612e-6,3.0724776506207356e-6,9.454547701905277e-6,1.6585544292902712e-5
5015,9.262179724838874e-7,2.1770960060990215e-6,6.270904350431459e-6,2.3886858009447414e-5,1.1540328376489986e-6,3.135264277571303e-6,7.558863519634584e-6,1.9582516269472688e-5,1.4591374478089007e-6,3.2539374456073778e-6,9.41354562221406e-6,1.608435091160786e-5
5016,9.500934931461879e-7,2.278618499212978e-6,6.156419647621832e-6,2.3779995198983136e-5,1.1888578790226322e-6,3.1398746378784045e-6,8.00781393523575e-6,1.9378966254030733e-5,1.498577697628039e-6,3.449923686974247e-6,9.535388603614939e-6,1.5765897361293524e-5
5017,9.892831674586629e-7,2.3840529373070457e-6,6.110753467855541e-6,2.386550596258122e-5,1.211221424956621e-6,3.121620874715341e-6,8.416778675975804e-6,1.902972395434412e-5,1.514226690184318e-6,3.663747530005614e-6,9.399635557910385e-6,1.5335086928058103e-5
5018,1.0257498967252242e-6,2.48870043822283e-6,6.117773616829556e-6,2.410707435049851e-5,1.247732857841075e-6,3.1301296310437377e-6,8.781844890504635e-6,1.9164940058608767e-5,1.5449135474479453e-6,3.7998120033892363e-6,9.429282294654882e-6,1.516945349183368e-5
5019,1.0298595512946336e-6,2.505686143592736e-6,6.048295252808713e-6,2.3949354414044493e-5,1.2559518405544044e-6,3.1149499951982174e-6,8.92560635672752e-6,1.8912302163865602e-5,1.5411490663433743e-6,3.888359980733108e-6,9.223500759488612e-6,1.4809053567746355e-5
5020,1.0496326845101324e-6,2.566515484058208e-6,6.063561863429066e-6,2.4215379239646415e-5,1.2767392625639686e-6,3.1172713997443432e-6,9.12272092417819e-6,1.900109835782949e-5,1.5596874045204582e-6,3.9485746469023005e-6,9.27574519115127e-6,1.4808957605611263e-5
5021,1.0390334583412373e-6,2.5247056324953693e-6,6.027202493569318e-6,2.3961786340145704e-5,1.2676728824395913e-6,3.109336632934604e-6,9.002013102054988e-6,1.8724205840468462e-5,1.5746293419455632e-6,3.9662225276906515e-6,9.379623275173693e-6,1.49202843398345e-5
5022,1.0505224935289165e-6,2.5325039166318935e-6,6.076209884109798e-6,2.4127373565500952e-5,1.2747930043124299e-6,3.1212810016367973e-6,8.997246333504219e-6,1.8832668295422794e-5,1.561756755900652e-6,3.9444641477920755e-6,9.335152843743466e-6,1.4894208625256729e-5
5023,1.0393469183733303e-6,2.4668814200964207e-6,6.084119335550917e-6,2.394658959542766e-5,1.2725436749735654e-6,3.1391677248836025e-6,8.885397888981935e-6,1.8922134487119093e-5,1.5674094867826753e-6,3.903710841712772e-6,9.451059275835266e-6,1.5067000021699898e-5
5024,1.0434750408704309e-6,2.447249891321107e-6,6.227695053481005e-6,2.4358022431825694e-5,1.2506983822421167e-6,3.1497150553762683e-6,8.636164546628413e-6,1.9265214614258588e-5,1.528739573120511e-6,3.7456618469922947e-6,9.361315048075494e-6,1.5214556470956139e-5
5025,1.014537736802396e-6,2.3900168436999315e-6,6.3463052264210506e-6,2.4490553327792766e-5,1.2383954796631183e-6,3.1984768288034965e-6,8.23157726432818e-6,1.990662398870639e-5,1.5110539081528116e-6,3.5276974884997197e-6,9.489086891212844e-6,1.5647820773946788e-5
5026,1.0066052282697748e-6,2.355685979472223e-6,6.534364466873637e-6,2.472715181515847e-5,1.2159670188587983e-6,3.227239577181694e-6,7.749396588323157e-6,2.027216320124691e-5,1.4751651570591509e-6,3.364268517045315e-6,9.384104695118198e-6,1.587286553444988e-5
5027,1.0033448059114274e-6,2.347985344108857e-6,6.726276815882142e-6,2.495131369678159e-5,1.213364928551308e-6,3.269671957963203e-6,7.354420495213453e-6,2.0703495753024263e-5,1.472658081447985e-6,3.213418245195878e-6,9.51564946678813e-6,1.6231086881492273e-5
5028,9.752660975605166e-7,2.283767112880502e-6,6.732670223160123e-6,2.479230819353887e-5,1.191188798750339e-6,3.2590577966821902e-6,7.096524229171537e-6,2.0706145602910626e-5,1.4439197901345318e-6,3.178498285498768e-6,9.341985403043125e-6,1.628976945867621e-5
5029,9.78997435003749e-7,2.2803374438588296e-6,6.8521928373767395e-6,2.4906170068665803e-5,1.193362631589958e-6,3.287407027132998e-6,6.886529819457011e-6,2.09722368775136e-5,1.4511178727753566e-6,3.0684405997818035e-6,9.493878757872352e-6,1.6562622665176108e-5
5030,9.659101295880318e-7,2.2877311459901573e-6,6.893974480190971e-6,2.4915833783481437e-5,1.1808333824346206e-6,3.2798593242919316e-6,6.8307120946980955e-6,2.089248488875729e-5,1.4571685448604032e-6,3.0659261808298914e-6,9.54772636089299e-6,1.6632330414146546e-5
5031,9.697056987489753e-7,2.2432445261758922e-6,6.708113638407985e-6,2.471145674876384e-5,1.173354205900213e-6,3.2502438888233353e-6,6.933533510589692e-6,2.0726488925453103e-5,1.4379271442217634e-6,3.1382354174322146e-6,9.345450274105478e-6,1.643843217404381e-5
5032,9.528257013580768e-7,2.197721830284263e-6,6.545813615878338e-6,2.442051826160532e-5,1.1694404673540627e-6,3.219167003995658e-6,7.116622888705626e-6,2.054806568204432e-5,1.451302973093139e-6,3.086490217298495e-6,9.488546297726436e-6,1.6536068043217625e-5
5033,9.48805025877425e-7,2.156324550004311e-6,6.465766862776954e-6,2.4246829147385802e-5,1.1468086672758274e-6,3.182476687605331e-6,7.109349053898838e-6,2.0289451236319135e-5,1.429960480039074e-6,3.1358866640286283e-6,9.313493658231823e-6,1.6452105721196237e-5
5034,9.181432485080498e-7,2.0864231851594664e-6,6.35961590189512e-6,2.3915364507618324e-5,1.1378224070298772e-6,3.1590955409252982e-6,7.094628571901842e-6,2.0189704045466552e-5,1.4436645825926566e-6,3.056294581162405e-6,9.53097487188255e-6,1.674348375465487e-5
5035,9.025749695194075e-7,2.059960464362594e-6,6.278429354846995e-6,2.3777165848435143e-5,1.11812928455114e-6,3.1154446952017013e-6,7.201329750171628e-6,1.9786862914457456e-5,1.4296972166066972e-6,3.0659431755181637e-6,9.450759334286419e-6,1.6652756796441208e-5
5036,8.998631378740572e-7,2.089480622162026e-6,6.326705454523069e-6,2.3902865625846297e-5,1.1249800050528977e-6,3.134912015725197e-6,7.213436480144979e-6,1.9882558224681744e-5,1.4463796802380648e-6,3.051286443712461e-6,9.640162354076307e-6,1.6692309321807214e-5
5037,8.851208382116941e-7,2.053373288113356e-6,6.299640735484567e-6,2.3785216753692747e-5,1.1115379230324413e-6,3.115610519085103e-6,7.174626757812274e-6,1.9750498915499055e-5,1.4281162722381597e-6,3.0557256074841294e-6,9.497346549384145e-6,1.6671437583001023e-5
5038,9.056376619049987e-7,2.1160101862121674e-6,6.310380442043452e-6,2.389709210330374e-5,1.132696183128093e-6,3.139046223544754e-6,7.30734100023858e-6,1.9844165401001233e-5,1.4446573425281275e-6,3.0776084983667857e-6,9.642145050164446e-6,1.656460008634274e-5
5039,9.230112117706237e-7,2.212248840942936e-6,6.186359641895877e-6,2.3801785324733725e-5,1.1496859147028088e-6,3.1280438050051977e-6,7.712235072508224e-6,1.9520866371923702e-5,1.4818882757845483e-6,3.2431367091327563e-6,9.897157445631311e-6,1.6220455365149685e-5
5040,9.616034073106877e-7,2.3435267669217844e-6,6.105497710227663e-6,2.3905132917503226e-5,1.1876471440242035e-6,3.1154422487359164e-6,8.27604983223117e-6,1.9151517277764395e-5,1.4724268880204791e-6,3.570838990723966e-6,9.519137429334422e-6,1.558351953146313e-5
5041,9.87804939561811e-7,2.447582003999042e-6,6.027572711467417e-6,2.3923113434088878e-5,1.203457022239468e-6,3.0850693966286482e-6,8.66588693704174e-6,1.8793469304165087e-5,1.509203313063319e-6,3.7170303564908176e-6,9.864219393864813e-6,1.5443236417578122e-5
5042,1.0381153508005154e-6,2.5224607536567786e-6,6.055333628455631e-6,2.399893348485238e-5,1.2324164392272196e-6,3.0719869434801925e-6,8.972497350059011e-6,1.866865246105253e-5,1.5407689443263818e-6,3.903043974062617e-6,9.735631020766844e-6,1.5216944656537945e-5
5043,1.041778856296616e-6,2.5532976384401584e-6,5.996016392107722e-6,2.3882204820690826e-5,1.25448514630557e-6,3.0684678345707875e-6,9.147139402388564e-6,1.8611029225052268e-5,1.5215113534873787e-6,3.98132951180959e-6,9.376386610286536e-6,1.4863916382300315e-5
5044,1.0490021159310965e-6,2.551650508952534e-6,6.005407813797005e-6,2.3923091116549162e-5,1.2469548797702636e-6,3.057271019044557e-6,9.09342055697105e-6,1.8343739429658874e-5,1.5590443884618145e-6,4.032896062947508e-6,9.565346814278673e-6,1.4990350599362058e-5
